iter	Passed	Remaining
0	150	149963
1	151	75367
2	152	50585
3	152	38059
4	153	30585
5	154	25656
6	155	22093
7	156	19428
8	157	17352
9	158	15696
10	159	14363
11	160	13240
12	161	12255
13	162	11431
14	163	10715
15	164	10130
16	165	9584
17	166	9101
18	167	8665
19	168	8264
20	169	7900
21	170	7569
22	171	7267
23	171	6989
24	172	6734
25	173	6498
26	174	6280
27	175	6082
28	176	5909
29	177	5737
30	178	5571
31	179	5416
32	179	5269
33	180	5132
34	181	5002
35	182	4880
36	183	4764
37	183	4654
38	184	4550
39	185	4451
40	186	4357
41	187	4267
42	187	4181
43	188	4099
44	189	4021
45	190	3949
46	191	3879
47	192	3809
48	192	3744
49	193	3681
50	194	3620
51	195	3561
52	196	3505
53	196	3450
54	197	3398
55	198	3347
56	199	3298
57	200	3250
58	200	3204
59	201	3160
60	202	3117
61	203	3075
62	204	3035
63	204	2996
64	206	2964
65	206	2928
66	207	2892
67	208	2857
68	209	2820
69	209	2788
70	210	2756
71	211	2725
72	212	2695
73	213	2666
74	213	2637
75	214	2609
76	215	2582
77	216	2555
78	217	2530
79	217	2505
80	218	2480
81	219	2456
82	220	2433
83	221	2412
84	222	2390
85	222	2363
86	223	2342
87	224	2322
88	224	2301
89	225	2281
90	226	2262
91	227	2242
92	228	2224
93	228	2205
94	229	2187
95	230	2169
96	231	2152
97	232	2135
98	232	2119
99	233	2102
100	234	2086
101	235	2071
102	236	2056
103	236	2041
104	237	2026
105	238	2011
106	239	1997
107	240	1983
108	240	1969
109	241	1955
110	242	1942
111	243	1929
112	244	1916
113	244	1903
114	245	1890
115	246	1878
116	247	1866
117	248	1854
118	248	1842
119	249	1831
120	250	1819
121	251	1810
122	252	1800
123	253	1789
124	254	1779
125	255	1768
126	256	1760
127	257	1751
128	258	1743
129	259	1733
130	259	1723
131	260	1713
132	261	1704
133	262	1694
134	263	1685
135	263	1676
136	264	1667
137	265	1658
138	266	1649
139	267	1642
140	268	1635
141	269	1627
142	270	1619
143	270	1610
144	271	1602
145	272	1594
146	273	1586
147	274	1578
148	275	1570
149	275	1563
150	276	1555
151	277	1547
152	278	1540
153	279	1532
154	279	1525
155	280	1518
156	281	1511
157	282	1505
158	283	1498
159	284	1491
160	284	1484
161	285	1478
162	286	1471
163	287	1464
164	288	1458
165	288	1451
166	289	1445
167	290	1439
168	291	1432
169	292	1426
170	292	1420
171	293	1414
172	294	1408
173	295	1402
174	296	1396
175	296	1390
176	297	1385
177	298	1379
178	299	1374
179	300	1368
180	301	1362
181	301	1357
182	302	1351
183	303	1346
184	304	1340
185	305	1335
186	305	1330
187	306	1325
188	307	1319
189	308	1314
190	309	1309
191	309	1304
192	310	1299
193	311	1294
194	312	1289
195	313	1284
196	313	1279
197	314	1274
198	315	1270
199	316	1265
200	317	1260
201	318	1256
202	318	1251
203	319	1247
204	320	1242
205	321	1238
206	321	1233
207	322	1228
208	323	1224
209	324	1220
210	325	1215
211	325	1211
212	326	1207
213	327	1203
214	328	1199
215	329	1195
216	330	1191
217	331	1187
218	331	1183
219	332	1179
220	335	1181
221	335	1177
222	336	1173
223	337	1169
224	338	1165
225	339	1161
226	339	1157
227	340	1153
228	341	1150
229	342	1146
230	343	1142
231	344	1139
232	345	1136
233	346	1133
234	347	1129
235	347	1126
236	348	1122
237	349	1119
238	350	1115
239	351	1112
240	351	1108
241	352	1104
242	353	1101
243	354	1097
244	355	1094
245	355	1091
246	356	1087
247	357	1084
248	358	1080
249	359	1077
250	360	1074
251	360	1071
252	361	1067
253	362	1064
254	363	1061
255	364	1058
256	364	1054
257	365	1051
258	366	1048
259	367	1045
260	368	1042
261	368	1039
262	369	1035
263	370	1032
264	371	1029
265	372	1026
266	372	1023
267	373	1020
268	374	1017
269	375	1014
270	376	1011
271	376	1008
272	377	1005
273	378	1002
274	379	999
275	380	997
276	380	994
277	381	991
278	382	988
279	383	985
280	384	982
281	384	979
282	385	977
283	386	974
284	387	971
285	388	968
286	388	966
287	389	963
288	390	961
289	391	958
290	392	955
291	392	952
292	393	950
293	394	947
294	395	944
295	395	941
296	396	938
297	397	936
298	398	933
299	399	931
300	399	928
301	400	926
302	401	923
303	402	921
304	403	918
305	404	917
306	405	915
307	406	913
308	407	910
309	408	908
310	409	906
311	409	903
312	410	901
313	411	899
314	412	896
315	413	894
316	413	891
317	414	889
318	415	887
319	416	884
320	417	882
321	418	880
322	419	879
323	420	877
324	421	875
325	424	876
326	425	875
327	426	873
328	426	870
329	427	868
330	428	866
331	429	863
332	430	861
333	430	859
334	431	856
335	432	854
336	433	852
337	434	850
338	434	847
339	437	849
340	438	847
341	439	845
342	440	842
343	440	840
344	441	838
345	442	836
346	443	834
347	444	831
348	444	829
349	445	827
350	446	825
351	447	823
352	447	821
353	448	818
354	449	816
355	450	814
356	452	815
357	453	813
358	455	812
359	456	810
360	456	808
361	457	806
362	459	806
363	460	805
364	461	803
365	462	801
366	463	799
367	464	797
368	465	795
369	466	794
370	467	792
371	468	791
372	469	789
373	470	787
374	471	785
375	472	783
376	473	782
377	474	780
378	475	778
379	475	776
380	476	774
381	477	772
382	478	770
383	479	768
384	479	766
385	480	764
386	481	763
387	482	761
388	483	759
389	484	757
390	484	755
391	485	753
392	486	751
393	487	749
394	488	747
395	488	745
396	489	743
397	490	741
398	491	740
399	492	738
400	492	736
401	493	734
402	494	732
403	495	730
404	496	728
405	497	727
406	497	725
407	498	723
408	499	721
409	500	719
410	501	718
411	501	716
412	502	714
413	503	712
414	504	710
415	504	708
416	505	707
417	506	705
418	507	703
419	508	701
420	508	699
421	509	698
422	510	696
423	511	695
424	512	693
425	513	692
426	514	690
427	515	688
428	516	687
429	517	686
430	518	684
431	519	683
432	520	681
433	521	679
434	521	677
435	522	676
436	523	674
437	524	672
438	525	671
439	525	669
440	526	667
441	527	666
442	528	665
443	529	663
444	530	661
445	531	660
446	532	658
447	533	656
448	533	655
449	534	653
450	535	651
451	536	650
452	536	648
453	537	646
454	538	644
455	539	643
456	540	641
457	540	640
458	541	638
459	542	637
460	543	635
461	544	634
462	545	632
463	546	631
464	547	629
465	547	627
466	548	626
467	549	624
468	550	623
469	551	621
470	551	619
471	552	618
472	553	616
473	554	614
474	554	613
475	555	611
476	556	610
477	557	608
478	558	607
479	559	605
480	559	604
481	560	602
482	561	600
483	562	599
484	563	597
485	563	596
486	564	594
487	565	593
488	566	591
489	566	590
490	567	588
491	568	587
492	569	585
493	570	583
494	570	582
495	571	580
496	572	579
497	573	578
498	574	576
499	575	575
500	576	573
501	576	572
502	577	570
503	578	569
504	579	567
505	580	566
506	580	564
507	581	563
508	582	561
509	583	560
510	584	558
511	584	557
512	585	556
513	586	554
514	587	553
515	588	552
516	589	550
517	590	549
518	591	547
519	592	546
520	593	545
521	594	544
522	595	542
523	595	541
524	596	539
525	597	538
526	598	536
527	599	535
528	599	534
529	600	532
530	601	531
531	602	529
532	603	528
533	604	527
534	605	526
535	606	524
536	606	523
537	607	521
538	608	520
539	609	518
540	609	517
541	610	516
542	611	514
543	612	513
544	613	511
545	614	510
546	614	509
547	615	507
548	616	506
549	617	504
550	617	503
551	618	502
552	619	501
553	620	499
554	621	498
555	622	496
556	623	495
557	624	494
558	624	492
559	625	491
560	626	490
561	627	488
562	628	487
563	628	486
564	629	484
565	630	483
566	631	482
567	631	480
568	632	479
569	633	478
570	634	476
571	635	475
572	636	474
573	636	472
574	637	471
575	638	470
576	639	468
577	640	467
578	641	466
579	642	464
580	642	463
581	643	462
582	644	460
583	645	459
584	645	458
585	646	456
586	647	455
587	648	454
588	649	453
589	650	451
590	651	450
591	651	449
592	652	447
593	653	446
594	654	445
595	655	444
596	655	442
597	656	441
598	657	440
599	658	438
600	659	437
601	659	436
602	660	434
603	661	433
604	662	432
605	663	431
606	663	429
607	664	428
608	665	427
609	666	426
610	667	424
611	667	423
612	668	422
613	669	420
614	670	419
615	671	418
616	671	417
617	672	415
618	673	414
619	674	413
620	674	411
621	675	410
622	676	409
623	677	408
624	678	407
625	679	405
626	680	404
627	681	403
628	681	402
629	682	400
630	683	399
631	684	398
632	685	397
633	686	396
634	687	395
635	687	393
636	688	392
637	689	391
638	690	390
639	691	388
640	691	387
641	692	386
642	693	385
643	694	383
644	696	383
645	697	382
646	698	381
647	699	379
648	700	378
649	700	377
650	701	376
651	702	374
652	703	373
653	704	372
654	704	371
655	705	370
656	706	368
657	707	367
658	708	366
659	708	365
660	709	364
661	710	362
662	711	361
663	712	360
664	713	359
665	714	358
666	714	356
667	715	355
668	716	354
669	717	353
670	718	352
671	718	350
672	719	349
673	720	348
674	721	347
675	722	346
676	722	344
677	723	343
678	724	342
679	725	341
680	726	340
681	727	339
682	728	337
683	728	336
684	729	335
685	730	334
686	731	333
687	732	331
688	732	330
689	733	329
690	734	328
691	735	327
692	736	326
693	736	324
694	737	323
695	738	322
696	739	321
697	740	320
698	741	319
699	741	317
700	742	316
701	743	315
702	744	314
703	745	313
704	745	312
705	746	310
706	747	309
707	748	308
708	749	307
709	749	306
710	750	305
711	751	303
712	752	302
713	753	301
714	753	300
715	755	299
716	755	298
717	756	297
718	757	296
719	758	294
720	759	293
721	760	292
722	761	291
723	762	290
724	763	289
725	764	288
726	764	287
727	765	286
728	766	284
729	767	283
730	768	282
731	769	281
732	769	280
733	770	279
734	772	278
735	773	277
736	773	276
737	774	274
738	775	273
739	776	272
740	776	271
741	777	270
742	778	269
743	779	268
744	780	267
745	780	265
746	781	264
747	782	263
748	783	262
749	784	261
750	784	260
751	785	259
752	786	258
753	787	257
754	788	255
755	789	254
756	790	253
757	791	252
758	792	251
759	792	250
760	793	249
761	794	248
762	795	247
763	796	245
764	796	244
765	797	243
766	798	242
767	799	241
768	800	240
769	801	239
770	802	238
771	802	237
772	803	236
773	804	234
774	805	233
775	806	232
776	806	231
777	807	230
778	808	229
779	809	228
780	810	227
781	810	226
782	811	224
783	812	223
784	813	222
785	813	221
786	814	220
787	815	219
788	816	218
789	817	217
790	818	216
791	818	215
792	819	213
793	820	212
794	821	211
795	822	210
796	822	209
797	823	208
798	824	207
799	825	206
800	826	205
801	826	204
802	827	203
803	828	201
804	829	200
805	830	199
806	830	198
807	831	197
808	832	196
809	833	195
810	834	194
811	835	193
812	836	192
813	837	191
814	838	190
815	839	189
816	840	188
817	840	187
818	841	186
819	842	184
820	843	183
821	844	182
822	844	181
823	845	180
824	846	179
825	848	178
826	849	177
827	849	176
828	850	175
829	851	174
830	852	173
831	853	172
832	853	171
833	854	170
834	855	169
835	856	167
836	856	166
837	857	165
838	858	164
839	859	163
840	860	162
841	860	161
842	861	160
843	862	159
844	863	158
845	864	157
846	865	156
847	866	155
848	867	154
849	867	153
850	868	152
851	869	151
852	870	149
853	871	148
854	871	147
855	872	146
856	873	145
857	874	144
858	875	143
859	875	142
860	876	141
861	877	140
862	878	139
863	879	138
864	879	137
865	880	136
866	881	135
867	882	134
868	882	133
869	883	132
870	884	130
871	885	129
872	886	128
873	886	127
874	887	126
875	888	125
876	889	124
877	890	123
878	890	122
879	891	121
880	892	120
881	893	119
882	894	118
883	894	117
884	895	116
885	896	115
886	897	114
887	898	113
888	898	112
889	899	111
890	900	110
891	901	109
892	902	108
893	902	107
894	903	106
895	904	104
896	905	103
897	906	102
898	906	101
899	907	100
900	908	99
901	909	98
902	910	97
903	911	96
904	912	95
905	912	94
906	913	93
907	914	92
908	915	91
909	916	90
910	916	89
911	917	88
912	918	87
913	919	86
914	919	85
915	920	84
916	921	83
917	922	82
918	923	81
919	924	80
920	925	79
921	926	78
922	927	77
923	928	76
924	929	75
925	930	74
926	931	73
927	931	72
928	932	71
929	933	70
930	934	69
931	934	68
932	935	67
933	936	66
934	937	65
935	938	64
936	939	63
937	940	62
938	941	61
939	941	60
940	942	59
941	943	58
942	944	57
943	944	56
944	945	55
945	946	54
946	947	53
947	948	52
948	948	50
949	949	49
950	950	48
951	951	47
952	952	46
953	952	45
954	953	44
955	954	43
956	955	42
957	956	41
958	956	40
959	957	39
960	958	38
961	959	37
962	960	36
963	960	35
964	961	34
965	962	33
966	963	32
967	964	31
968	964	30
969	965	29
970	966	28
971	967	27
972	968	26
973	968	25
974	969	24
975	970	23
976	971	22
977	972	21
978	972	20
979	973	19
980	974	18
981	975	17
982	976	16
983	976	15
984	977	14
985	978	13
986	979	12
987	980	11
988	980	10
989	981	9
990	982	8
991	983	7
992	983	6
993	984	5
994	985	4
995	986	3
996	987	2
997	987	1
998	988	0
999	989	0
